REGION|LOCALITY|POST_CODE|VALUE_AUD|PERIOD
New South Wales|CALDERWOOD|2527|$585,000|6/2017
New South Wales|WEST ALBURY|2640|$335,000|6/2017
New South Wales|WEST DUBBO|2830|$340,000|6/2017
New South Wales|CUDMIRRAH|2540|$520,000|6/2017
New South Wales|LEETON|2705|$256,500|6/2017
New South Wales|RAWORTH|2321|$465,500|6/2017
New South Wales|MILPARINKA|2880|$95,000|6/2017
New South Wales|SOUTH DUBBO|2830|$340,000|6/2017
New South Wales|YARRAMAN|2400|$131,500|6/2017
New South Wales|EURIOWIE|2880|$95,000|6/2017
New South Wales|MOUNT RIVERVIEW|2774|$728,500|6/2017
New South Wales|HUME|2620|$450,000|6/2017
New South Wales|MOUNT LEWIS|2190|$932,500|6/2017
New South Wales|REEFTON|2666|$229,000|6/2017
New South Wales|SHOALHAVEN HEADS|2535|$657,500|6/2017
New South Wales|ARMIDALE|2350|$356,250|6/2017
New South Wales|MILLERS POINT|2000|$1,044,350|6/2017
New South Wales|BROKE|2330|$397,500|6/2017
New South Wales|DOONBAH|2473|$430,000|6/2017
New South Wales|MALONEYS BEACH|2536|$435,000|6/2017
New South Wales|GOODOOGA|2831|$nan|6/2017
New South Wales|JAUNTER|2787|$422,500|6/2017
New South Wales|BELLINGEN|2454|$630,000|6/2017
New South Wales|ROSE BAY|2029|$1,500,000|6/2017
New South Wales|GRENFELL|2810|$nan|6/2017
New South Wales|BINJURA|2630|$280,000|6/2017
New South Wales|BASIN VIEW|2540|$520,000|6/2017
New South Wales|CALDERWOOD|2527|$585,000|6/2017
New South Wales|YARRAGUNDRY|2650|$344,500|6/2017
New South Wales|BROMBIN|2446|$473,000|6/2017
New South Wales|PILLIGA|2388|$nan|6/2017
New South Wales|CENTRAL TILBA|2546|$420,000|6/2017
New South Wales|MEBUL|2852|$265,000|6/2017
New South Wales|BATHURST|2795|$407,500|6/2017
New South Wales|NIMMO|2628|$nan|6/2017
New South Wales|BYNG|2798|$nan|6/2017
New South Wales|HUNTERVIEW|2330|$397,500|6/2017
New South Wales|ROSEWOOD|2652|$200,000|6/2017
New South Wales|TUCKOMBIL|2477|$583,750|6/2017
New South Wales|DUBBO|2830|$340,000|6/2017
New South Wales|LILYVALE|2508|$912,500|6/2017
New South Wales|WAGGA WAGGA|2650|$344,500|6/2017
New South Wales|ARAKOON|2431|$335,000|6/2017
New South Wales|GUNNING GAP|2871|$254,000|6/2017
New South Wales|NYNGAN|2825|$nan|6/2017
New South Wales|GUMBALIE|2840|$nan|6/2017
New South Wales|GOULBURN|2580|$418,630|6/2017
New South Wales|WEST TAMWORTH|2340|$333,000|6/2017
New South Wales|SHORTLAND|2307|$437,500|6/2017
New South Wales|DOCTORS GAP|2790|$320,000|6/2017
New South Wales|NUMULGI|2480|$389,000|6/2017
New South Wales|BATEMANS BAY|2536|$435,000|6/2017
New South Wales|GOULBURN NORTH|2580|$418,630|6/2017
New South Wales|SILVERTON|2880|$95,000|6/2017
New South Wales|GRAFTON|2460|$321,000|6/2017
New South Wales|VALERY|2454|$630,000|6/2017
New South Wales|MINIMBAH|2312|$470,000|6/2017
New South Wales|WELLINGTON|2820|$180,000|6/2017
New South Wales|WERRINGTON DOWNS|2747|$650,000|6/2017
New South Wales|KENEBRI|2396|$nan|6/2017
New South Wales|CANTERBURY|2193|$739,000|6/2017
New South Wales|EAST WAGGA WAGGA|2650|$344,500|6/2017
New South Wales|BLAXLAND|2774|$728,500|6/2017
New South Wales|REDBOURNBERRY|2330|$397,500|6/2017
New South Wales|CHINDERAH|2487|$580,000|6/2017
New South Wales|CONGEWAI|2325|$342,000|6/2017
New South Wales|WOLLONGONG|2500|$620,000|6/2017
New South Wales|BIDDON|2827|$nan|6/2017
New South Wales|EAST WAGGA WAGGA|2650|$344,500|6/2017
New South Wales|TUMUT|2720|$255,000|6/2017
New South Wales||2818|$nan|6/2017
New South Wales|QUEANBEYAN|2620|$450,000|6/2017
New South Wales|LEE CREEK|2849|$nan|6/2017
New South Wales|TEST SUBURB|9999|$0|6/2017
|UNKNOWN|abc|N/A|
New South Wales|||$1,2X0,000|13/2017
